uri,kind,label,lang,type
http://www.wikidata.org/prop/direct/P156,relation,P156,,relation
http://www.wikidata.org/prop/direct/P1576,relation,P1576,,relation
http://www.wikidata.org/prop/direct/P1589,relation,P1589,,relation
http://www.wikidata.org/prop/direct/P159,relation,P159,,relation
http://www.wikidata.org/prop/direct/P1598,relation,P1598,,relation
http://www.wikidata.org/prop/direct/P16,relation,P16,,relation
http://www.wikidata.org/prop/direct/P161,relation,cast member,,relation
http://www.wikidata.org/prop/direct/P162,relation,producer,,relation
http://www.wikidata.org/prop/direct/P1622,relation,P1622,,relation
http://www.wikidata.org/prop/direct/P163,relation,P163,,relation
http://www.wikidata.org/prop/direct/P1657,relation,film rating,,relation
http://www.wikidata.org/prop/direct/P166,relation,P166,,relation
http://www.wikidata.org/prop/direct/P1672,relation,P1672,,relation
http://www.wikidata.org/prop/direct/P169,relation,P169,,relation
http://www.wikidata.org/prop/direct/P17,relation,country,,relation
http://www.wikidata.org/prop/direct/P170,relation,P170,,relation
http://www.wikidata.org/prop/direct/P171,relation,P171,,relation
http://www.wikidata.org/prop/direct/P1716,relation,P1716,,relation
http://www.wikidata.org/prop/direct/P172,relation,P172,,relation
http://www.wikidata.org/prop/direct/P175,relation,P175,,relation
http://www.wikidata.org/prop/direct/P176,relation,P176,,relation
http://www.wikidata.org/prop/direct/P177,relation,P177,,relation
http://www.wikidata.org/prop/direct/P178,relation,P178,,relation
http://www.wikidata.org/prop/direct/P179,relation,P179,,relation
http://www.wikidata.org/prop/direct/P180,relation,P180,,relation
http://www.wikidata.org/prop/direct/P1809,relation,P1809,,relation
http://www.wikidata.org/prop/direct/P1830,relation,P1830,,relation
http://www.wikidata.org/prop/direct/P184,relation,P184,,relation
http://www.wikidata.org/prop/direct/P185,relation,P185,,relation
http://www.wikidata.org/prop/direct/P1853,relation,P1853,,relation
http://www.wikidata.org/prop/direct/P186,relation,P186,,relation
http://www.wikidata.org/prop/direct/P1875,relation,P1875,,relation
http://www.wikidata.org/prop/direct/P1877,relation,P1877,,relation
http://www.wikidata.org/prop/direct/P1880,relation,P1880,,relation
http://www.wikidata.org/prop/direct/P1884,relation,P1884,,relation
http://www.wikidata.org/prop/direct/P1889,relation,P1889,,relation
http://www.wikidata.org/prop/direct/P19,relation,place of birth,,relation
http://www.wikidata.org/prop/direct/P190,relation,P190,,relation
http://www.wikidata.org/prop/direct/P1906,relation,P1906,,relation
http://www.wikidata.org/prop/direct/P1923,relation,P1923,,relation
http://www.wikidata.org/prop/direct/P193,relation,P193,,relation
http://www.wikidata.org/prop/direct/P194,relation,P194,,relation
http://www.wikidata.org/prop/direct/P195,relation,P195,,relation
http://www.wikidata.org/prop/direct/P1950,relation,P1950,,relation
http://www.wikidata.org/prop/direct/P197,relation,P197,,relation
http://www.wikidata.org/prop/direct/P1981,relation,P1981,,relation
http://www.wikidata.org/prop/direct/P199,relation,P199,,relation
http://www.wikidata.org/prop/direct/P1990,relation,P1990,,relation
http://www.wikidata.org/prop/direct/P1995,relation,P1995,,relation
http://www.wikidata.org/prop/direct/P1999,relation,P1999,,relation
http://www.wikidata.org/prop/direct/P20,relation,place of death,,relation
http://www.wikidata.org/prop/direct/P200,relation,P200,,relation
http://www.wikidata.org/prop/direct/P205,relation,P205,,relation
http://www.wikidata.org/prop/direct/P206,relation,P206,,relation
http://www.wikidata.org/prop/direct/P2061,relation,P2061,,relation
http://www.wikidata.org/prop/direct/P2079,relation,P2079,,relation
http://www.wikidata.org/prop/direct/P208,relation,P208,,relation
http://www.wikidata.org/prop/direct/P21,relation,gender,,relation
http://www.wikidata.org/prop/direct/P210,relation,P210,,relation
http://www.wikidata.org/prop/direct/P2176,relation,P2176,,relation
http://www.wikidata.org/prop/direct/P2184,relation,P2184,,relation
http://www.wikidata.org/prop/direct/P22,relation,P22,,relation
http://www.wikidata.org/prop/direct/P2238,relation,P2238,,relation
http://www.wikidata.org/prop/direct/P2283,relation,P2283,,relation
http://www.wikidata.org/prop/direct/P2293,relation,P2293,,relation
http://www.wikidata.org/prop/direct/P2341,relation,P2341,,relation
